Title,Year Published,Rating,Length (Min)
101 Dalmatians,1996,G,103
101 Dalmatians (Animated),1961,G,79
101 Dalmations II: Patch's London Adventure,2003,G,70
102 Dalmatians,2000,G,100
20000 Leagues Under the Sea,1954,NR,127
Absent-Minded Professor The,1961,NR,92
Adventures of Bullwhip Griffin The,1967,NR,108
Adventures of Huck Finn The,1993,PG,108
Adventures of Ichabod and Mr. Toad The,1949,NR,68
Air Bud,1997,PG,98
Air Bud 3: World Pup,2000,G,83
Air Bud Spikes Back,2003,G,87
Air Bud: Golden Receiver,1998,G,90
Air Bud: Seventh Inning Fetch,2002,G,93
Air Buddies,2006,PG,80
Aladdin,1992,G,90
Alexander and the Terrible Horrible No Good Very Bad Day,2014,,0
Alice In Wonderland,2010,PG,108
Alley Cats Strike,2000,G,87
Almost Angels,1962,NR,93
Amy,1981,G,100
Angels in the Endzone,1997,,88
Angels In The Infield,2000,PG,87
Angels in the Outfield,1994,PG,102
Apple Dumpling Gang Rides Again,1979,G,88
Apple Dumpling Gang The,1975,G,100
AristoCats The,1970,G,78
Around the World in 80 Days,1957,PG,120
Atlantis: Milo's Return,2003,G,70
Atlantis: The Lost Empire,2001,PG,95
Avalon High,2010,PG,0
Babes in Toyland,1961,NR,106
Bambi,1942,NR,69
Bambi II,2006,G,70
Barefoot Executive The,1971,NR,96
Basil - The Great Mouse Detective,1986,G,74
Bears and I The,1974,G,89
Beauty and the Beast,1991,G,84
Beauty and the Beast: The Enchanted Christmas,1997,G,72
Bedknobs and Broomsticks,1971,G,117
Bedtime Stories,2008,PG,99
Benji the Hunted,1987,G,88
Beverly Hills Chihuahua,2008,PG,93
Beverly Hills Chihuahua 2,2011,G,84
Beverly Hills Chihuahua 3: Viva La Fiesta!,2012,G,90
Big Green The,1995,PG,100
Big Hero 6,2014,,0
Big Red,1962,NR,89
Biscuit Eater The,1972,G,90
Black Cauldron The,1985,PG,80
Black Hole The,1979,PG,98
Blackbeard's Ghost,1968,G,106
Blank Check,1994,PG,93
Boatniks The,1970,G,99
Bolt,2008,G,96
Bon Voyage!,1962,NR,130
Boy Who Talked to Badgers The,1975,,98
Brave,2012,PG,100
Brave Little Toaster The,1987,,90
Bridge to Terabithia,2007,PG,95
Brink!,1998,NR,99
Brother Bear,2003,G,82
Brother Bear 2,2006,G,70
Buffalo Dreams,2005,NR,90
Bugs Life A,1998,G,96
Cadet Kelly,2002,G,101
Camp Rock,2008,G,94
Camp Rock 2: The Final Jam,2010,G,97
Can of Worms,1999,PG,90
Candleshoe,1977,G,101
Cars,2006,G,116
Cars 2,2011,G,113
Castaway Cowboy,1974,G,91
Cat from Outer Space The,1978,G,104
Chandar the Black Leopard of Ceylon,1972,NR,90
Charley and the Angel,1973,G,93
Charlie the Lonesome Cougar,1967,NR,75
Cheetah,1989,G,83
Cheetah Girls 2 The,2006,G,96
Cheetah Girls The,2003,NR,100
Cheetah Girls The: One World,2008,G,90
Chicken Little,2005,G,81
Christmas Carol A,2009,PG,98
Chronicles of Narnia: Prince Caspian,2008,PG,144
Chronicles of Narnia: The Lion Witch and the Wardrobe,2005,PG,143
Cinderella,2015,,0
Cinderella II: Dreams Come True,2002,G,73
Cinderella III: A Twist in Time,2007,G,70
College Road Trip,2008,G,83
Color of Friendship The,2000,G,87
Computer Wore Tennis Shoes The,1969,G,91
Condorman,1981,PG,90
Confessions of a Teenage Drama Queen,2004,PG,89
Cool Runnings,1993,PG,98
Country Bears The,2002,G,88
